#                A Homogeneous Main-Sequence Model
# 
# The surface conditions are:          The central conditions are:#
# Mtot =      1.000000 Msun            Mc/Mtot     =  8.79783E-03
# Rtot =      0.965769 Rsun            Rc/Rtot     =  7.30000E-02
# Ltot =      0.770000 Lsun            Lc/Ltot     = -1.73054E-02
# Teff =   5500.000000 K               Density     =  3.53609E+01# g/cm**3
# X    =      0.710000                 Temperature =  2.90906E+07 K
# Y    =      0.282000                 Pressure    =  1.38797E+17# dynes/cm**2
# Z    =      0.008000                 epsilon     = -2.91344E+00# ergs/s/g
#                                      dlnP/dlnT   =  2.05879E+01
#
# 
# Notes: 
# (1) Mass is listed as Qm = 1.0 - M_r/Mtot, where Mtot =  1.989000E+33 g
# (2) Convective zones are indicated by c, radiative zones by r
# (3) dlnP/dlnT may be limited to +99.9 or -99.9; if so it is# labeled by *
#
#
r            Qm       L_r       T        P       rho      kap      eps   rad   dlPdlT
  0.30E+11  0.11E+00  0.29E+34  0.40E+07  0.16E+16  0.30E+01  0.55E+01  0.83E-03 r  4.4
  0.30E+11  0.10E+00  0.29E+34  0.38E+07  0.14E+16  0.26E+01  0.56E+01  0.57E-03 r  4.4
  0.31E+11  0.91E-01  0.29E+34  0.37E+07  0.11E+16  0.23E+01  0.57E+01  0.39E-03 r  4.4
  0.32E+11  0.82E-01  0.29E+34  0.35E+07  0.96E+15  0.20E+01  0.58E+01  0.26E-03 r  4.4
  0.32E+11  0.74E-01  0.29E+34  0.34E+07  0.81E+15  0.18E+01  0.60E+01  0.18E-03 r  4.4
  0.33E+11  0.66E-01  0.29E+34  0.33E+07  0.69E+15  0.15E+01  0.61E+01  0.12E-03 r  4.4
  0.34E+11  0.59E-01  0.29E+34  0.32E+07  0.58E+15  0.14E+01  0.62E+01  0.79E-04 r  4.4
  0.34E+11  0.53E-01  0.29E+34  0.30E+07  0.49E+15  0.12E+01  0.63E+01  0.52E-04 r  4.4
  0.35E+11  0.47E-01  0.29E+34  0.29E+07  0.41E+15  0.10E+01  0.65E+01  0.34E-04 r  4.4
  0.36E+11  0.42E-01  0.29E+34  0.28E+07  0.34E+15  0.90E+00  0.66E+01  0.23E-04 r  4.5
  0.36E+11  0.38E-01  0.29E+34  0.27E+07  0.29E+15  0.79E+00  0.68E+01  0.15E-04 r  4.5
  0.37E+11  0.33E-01  0.29E+34  0.26E+07  0.24E+15  0.69E+00  0.69E+01  0.95E-05 r  4.5
  0.38E+11  0.30E-01  0.29E+34  0.25E+07  0.20E+15  0.60E+00  0.71E+01  0.61E-05 r  4.5
  0.39E+11  0.26E-01  0.29E+34  0.24E+07  0.17E+15  0.52E+00  0.72E+01  0.39E-05 r  4.5
  0.39E+11  0.23E-01  0.29E+34  0.23E+07  0.14E+15  0.45E+00  0.74E+01  0.24E-05 r  4.5
  0.40E+11  0.20E-01  0.29E+34  0.22E+07  0.12E+15  0.39E+00  0.75E+01  0.15E-05 r  4.5
  0.41E+11  0.18E-01  0.29E+34  0.21E+07  0.96E+14  0.34E+00  0.77E+01  0.94E-06 r  4.5
  0.41E+11  0.15E-01  0.29E+34  0.20E+07  0.80E+14  0.29E+00  0.79E+01  0.58E-06 r  4.5
  0.42E+11  0.13E-01  0.29E+34  0.19E+07  0.66E+14  0.25E+00  0.81E+01  0.35E-06 r  4.5
  0.43E+11  0.12E-01  0.29E+34  0.19E+07  0.54E+14  0.22E+00  0.82E+01  0.21E-06 r  4.5
  0.43E+11  0.10E-01  0.29E+34  0.18E+07  0.45E+14  0.19E+00  0.84E+01  0.12E-06 r  4.5
  0.43E+11  0.10E-01  0.29E+34  0.18E+07  0.44E+14  0.18E+00  0.84E+01  0.12E-06 r  4.5
  0.43E+11  0.98E-02  0.29E+34  0.18E+07  0.43E+14  0.18E+00  0.85E+01  0.11E-06 r  4.5
  0.43E+11  0.97E-02  0.29E+34  0.18E+07  0.42E+14  0.18E+00  0.85E+01  0.11E-06 r  4.5
  0.43E+11  0.95E-02  0.29E+34  0.17E+07  0.41E+14  0.17E+00  0.85E+01  0.10E-06 r  4.5
  0.44E+11  0.94E-02  0.29E+34  0.17E+07  0.40E+14  0.17E+00  0.85E+01  0.95E-07 r  4.5
  0.44E+11  0.93E-02  0.29E+34  0.17E+07  0.40E+14  0.17E+00  0.85E+01  0.90E-07 r  4.5
  0.44E+11  0.91E-02  0.29E+34  0.17E+07  0.39E+14  0.17E+00  0.86E+01  0.85E-07 r  4.5
  0.44E+11  0.90E-02  0.29E+34  0.17E+07  0.38E+14  0.16E+00  0.86E+01  0.81E-07 r  4.5
  0.44E+11  0.89E-02  0.29E+34  0.17E+07  0.37E+14  0.16E+00  0.86E+01  0.76E-07 r  4.5
  0.44E+11  0.87E-02  0.29E+34  0.17E+07  0.37E+14  0.16E+00  0.86E+01  0.72E-07 r  4.5
  0.44E+11  0.86E-02  0.29E+34  0.17E+07  0.36E+14  0.16E+00  0.86E+01  0.69E-07 r  4.5
  0.44E+11  0.85E-02  0.29E+34  0.17E+07  0.35E+14  0.15E+00  0.87E+01  0.65E-07 r  4.5
  0.44E+11  0.84E-02  0.29E+34  0.17E+07  0.35E+14  0.15E+00  0.87E+01  0.62E-07 r  4.5
  0.44E+11  0.82E-02  0.29E+34  0.17E+07  0.34E+14  0.15E+00  0.87E+01  0.58E-07 r  4.5
  0.44E+11  0.81E-02  0.29E+34  0.17E+07  0.33E+14  0.15E+00  0.87E+01  0.55E-07 r  4.5
  0.44E+11  0.80E-02  0.29E+34  0.17E+07  0.33E+14  0.15E+00  0.88E+01  0.52E-07 r  4.5
  0.44E+11  0.79E-02  0.29E+34  0.17E+07  0.32E+14  0.14E+00  0.88E+01  0.49E-07 r  4.5
  0.44E+11  0.77E-02  0.29E+34  0.16E+07  0.31E+14  0.14E+00  0.88E+01  0.47E-07 r  4.5
  0.44E+11  0.76E-02  0.29E+34  0.16E+07  0.31E+14  0.14E+00  0.88E+01  0.44E-07 r  4.5
  0.45E+11  0.75E-02  0.29E+34  0.16E+07  0.30E+14  0.14E+00  0.88E+01  0.42E-07 r  4.5
  0.45E+11  0.74E-02  0.29E+34  0.16E+07  0.29E+14  0.13E+00  0.89E+01  0.40E-07 r  4.5
  0.45E+11  0.73E-02  0.29E+34  0.16E+07  0.29E+14  0.13E+00  0.89E+01  0.37E-07 r  4.5
  0.45E+11  0.72E-02  0.29E+34  0.16E+07  0.28E+14  0.13E+00  0.89E+01  0.35E-07 r  4.5
  0.45E+11  0.71E-02  0.29E+34  0.16E+07  0.28E+14  0.13E+00  0.89E+01  0.33E-07 r  4.5
  0.45E+11  0.70E-02  0.29E+34  0.16E+07  0.27E+14  0.13E+00  0.89E+01  0.32E-07 r  4.5
  0.45E+11  0.68E-02  0.29E+34  0.16E+07  0.27E+14  0.12E+00  0.90E+01  0.30E-07 r  4.5
  0.45E+11  0.67E-02  0.29E+34  0.16E+07  0.26E+14  0.12E+00  0.90E+01  0.28E-07 r  4.5
  0.45E+11  0.66E-02  0.29E+34  0.16E+07  0.25E+14  0.12E+00  0.90E+01  0.27E-07 r  4.5
  0.45E+11  0.65E-02  0.29E+34  0.16E+07  0.25E+14  0.12E+00  0.90E+01  0.25E-07 r  4.5
  0.45E+11  0.64E-02  0.29E+34  0.16E+07  0.24E+14  0.12E+00  0.90E+01  0.24E-07 r  4.5
  0.45E+11  0.63E-02  0.29E+34  0.16E+07  0.24E+14  0.11E+00  0.91E+01  0.22E-07 r  4.5
  0.45E+11  0.62E-02  0.29E+34  0.15E+07  0.23E+14  0.11E+00  0.91E+01  0.21E-07 r  4.5
  0.45E+11  0.61E-02  0.29E+34  0.15E+07  0.23E+14  0.11E+00  0.91E+01  0.20E-07 r  4.5
  0.46E+11  0.60E-02  0.29E+34  0.15E+07  0.23E+14  0.11E+00  0.91E+01  0.19E-07 r  4.5
  0.46E+11  0.59E-02  0.29E+34  0.15E+07  0.22E+14  0.11E+00  0.92E+01  0.18E-07 r  4.5
  0.46E+11  0.58E-02  0.29E+34  0.15E+07  0.22E+14  0.11E+00  0.92E+01  0.17E-07 r  4.5
  0.46E+11  0.58E-02  0.29E+34  0.15E+07  0.21E+14  0.10E+00  0.92E+01  0.16E-07 r  4.5
  0.46E+11  0.57E-02  0.29E+34  0.15E+07  0.21E+14  0.10E+00  0.92E+01  0.15E-07 r  4.5
  0.46E+11  0.56E-02  0.29E+34  0.15E+07  0.20E+14  0.10E+00  0.93E+01  0.14E-07 r  4.5
  0.46E+11  0.55E-02  0.29E+34  0.15E+07  0.20E+14  0.99E-01  0.93E+01  0.13E-07 r  4.5
  0.46E+11  0.54E-02  0.29E+34  0.15E+07  0.19E+14  0.97E-01  0.93E+01  0.13E-07 r  4.5
  0.46E+11  0.53E-02  0.29E+34  0.15E+07  0.19E+14  0.96E-01  0.93E+01  0.12E-07 r  4.5
  0.46E+11  0.52E-02  0.29E+34  0.15E+07  0.19E+14  0.94E-01  0.93E+01  0.11E-07 r  4.5
  0.46E+11  0.51E-02  0.29E+34  0.15E+07  0.18E+14  0.93E-01  0.94E+01  0.10E-07 r  4.5
